Route No.,Bus No.,From,To,Distance (km)
RT725,PB-44-5118,Chandigarh,Hoshiarpur,145.9
RT166,PB-14-8473,Ludhiana,Hoshiarpur,86.9
RT647,PB-84-7867,Hoshiarpur,Bathinda,200.7
RT143,PB-55-1313,Ropar,Pathankot,200.1
RT527,PB-37-7352,Ferozepur,Moga,67.5
RT382,PB-94-3536,Ferozepur,Amritsar,98.0
RT897,PB-74-1726,Pathankot,Mohali,259.3
RT250,PB-37-9828,Ferozepur,Amritsar,94.2
RT703,PB-44-9727,Ferozepur,Chandigarh,250.5
RT346,PB-51-8901,Patiala,Ferozepur,216.7
RT129,PB-51-7343,Jalandhar,Hoshiarpur,49.7
RT631,PB-51-9085,Kapurthala,Ludhiana,86.4
RT362,PB-80-1522,Ropar,Chandigarh,41.2
RT801,PB-59-6371,Moga,Patiala,148.1
RT583,PB-71-6324,Ludhiana,Amritsar,156.9
RT751,PB-59-8884,Bathinda,Pathankot,307.7
RT666,PB-70-1551,Ludhiana,Ropar,81.0
RT214,PB-60-8022,Ropar,Amritsar,206.2
RT568,PB-51-2496,Pathankot,Jalandhar,125.3
RT627,PB-84-2222,Ferozepur,Chandigarh,244.6
RT311,PB-73-4718,Ropar,Hoshiarpur,104.0
RT389,PB-58-3300,Bathinda,Chandigarh,236.2
RT491,PB-20-9349,Chandigarh,Kapurthala,179.4
RT515,PB-68-8141,Ferozepur,Bathinda,104.0
RT407,PB-44-3413,Chandigarh,Hoshiarpur,142.4
RT350,PB-17-4090,Chandigarh,Patiala,70.1
RT728,PB-54-1936,Kapurthala,Bathinda,160.6
RT281,PB-50-9613,Mohali,Kapurthala,187.2
RT500,PB-42-2414,Ropar,Amritsar,225.4
RT220,PB-66-3459,Patiala,Amritsar,234.5
RT915,PB-35-8380,Ludhiana,Amritsar,157.9
RT961,PB-90-6888,Mohali,Bathinda,221.7
RT823,PB-15-9436,Bathinda,Ludhiana,141.9
RT720,PB-72-1244,Kapurthala,Pathankot,128.8
RT811,PB-41-4444,Hoshiarpur,Ropar,107.0
RT363,PB-34-3850,Jalandhar,Kapurthala,22.9
RT158,PB-82-1984,Moga,Ropar,162.7
RT907,PB-10-4279,Hoshiarpur,Ropar,108.9
RT136,PB-32-5187,Mohali,Jalandhar,150.9
RT896,PB-44-9600,Patiala,Hoshiarpur,164.1
RT474,PB-44-4127,Mohali,Pathankot,256.4
RT463,PB-38-1704,Moga,Bathinda,83.7
RT905,PB-77-2129,Moga,Ludhiana,84.9
RT714,PB-18-9991,Jalandhar,Moga,84.6
RT209,PB-40-7239,Ferozepur,Kapurthala,114.0
RT878,PB-18-3381,Chandigarh,Kapurthala,195.1
RT800,PB-63-6378,Bathinda,Chandigarh,236.8
RT421,PB-45-7755,Patiala,Ropar,90.6
RT184,PB-80-9764,Pathankot,Mohali,254.0
RT578,PB-36-7949,Ferozepur,Amritsar,96.8
RT683,PB-66-3953,Ferozepur,Hoshiarpur,174.9
RT460,PB-70-9018,Hoshiarpur,Chandigarh,149.1
RT103,PB-86-5952,Moga,Bathinda,87.5
RT822,PB-32-9905,Moga,Chandigarh,179.2
RT693,PB-95-9215,Moga,Ferozepur,63.6
RT532,PB-32-7522,Ropar,Patiala,82.0
RT823,PB-77-7198,Ropar,Ludhiana,81.7
RT531,PB-21-3385,Jalandhar,Ropar,119.5
RT933,PB-24-8851,Jalandhar,Patiala,171.2
RT522,PB-39-7619,Chandigarh,Mohali,8.5
RT820,PB-23-6650,Amritsar,Moga,123.5
RT415,PB-80-1950,Ferozepur,Ludhiana,145.8
RT360,PB-93-7981,Kapurthala,Moga,79.2
RT320,PB-24-5365,Ludhiana,Chandigarh,108.2
RT708,PB-84-2338,Kapurthala,Mohali,175.7
RT536,PB-89-8977,Jalandhar,Pathankot,128.3
RT683,PB-88-1826,Kapurthala,Amritsar,65.8
RT962,PB-12-9247,Amritsar,Moga,122.2
RT704,PB-90-6158,Moga,Patiala,148.9
RT892,PB-17-2136,Amritsar,Hoshiarpur,121.1
RT140,PB-51-9452,Kapurthala,Pathankot,128.0
RT933,PB-15-9466,Ludhiana,Amritsar,157.0
RT804,PB-78-5749,Pathankot,Ferozepur,225.3
RT103,PB-98-5903,Jalandhar,Mohali,151.8
RT636,PB-12-7092,Chandigarh,Ferozepur,264.4
RT527,PB-58-5380,Moga,Bathinda,90.2
RT759,PB-74-2665,Kapurthala,Bathinda,164.3
RT551,PB-15-3684,Pathankot,Patiala,273.8
RT162,PB-58-6943,Patiala,Kapurthala,186.2
RT901,PB-36-7873,Ferozepur,Ludhiana,140.0
RT786,PB-20-2972,Hoshiarpur,Ropar,99.6
RT287,PB-70-9425,Hoshiarpur,Ferozepur,170.5
RT868,PB-21-4853,Moga,Amritsar,114.8
RT653,PB-14-8311,Hoshiarpur,Ludhiana,86.1
RT969,PB-85-7361,Ludhiana,Ropar,79.6
RT785,PB-28-7342,Pathankot,Moga,206.9
RT699,PB-45-3024,Amritsar,Bathinda,199.6
RT785,PB-19-1918,Mohali,Patiala,66.0
RT423,PB-64-9668,Ferozepur,Amritsar,98.1
RT995,PB-60-9909,Pathankot,Ropar,206.4
RT300,PB-27-9949,Jalandhar,Chandigarh,165.6
RT534,PB-41-5693,Mohali,Patiala,61.6
RT280,PB-50-9354,Chandigarh,Moga,189.9
RT362,PB-14-2036,Hoshiarpur,Kapurthala,68.6
RT277,PB-95-6852,Ropar,Kapurthala,146.5
RT243,PB-37-8700,Moga,Hoshiarpur,125.7
RT607,PB-72-6375,Hoshiarpur,Chandigarh,157.2
RT418,PB-11-5734,Mohali,Moga,174.2
RT627,PB-71-4858,Amritsar,Ropar,209.4
RT984,PB-14-2840,Kapurthala,Bathinda,173.2
RT187,PB-26-2401,Ropar,Hoshiarpur,103.9
RT109,PB-77-9825,Hoshiarpur,Patiala,164.7
RT147,PB-70-3423,Jalandhar,Amritsar,97.0
RT697,PB-34-3063,Jalandhar,Ropar,123.0
RT109,PB-18-7168,Ludhiana,Kapurthala,90.7
RT512,PB-95-9783,Pathankot,Moga,210.8
RT655,PB-49-2011,Pathankot,Jalandhar,123.6
RT808,PB-54-2680,Amritsar,Ferozepur,104.4
RT820,PB-50-4264,Jalandhar,Ferozepur,125.1
RT147,PB-26-3341,Hoshiarpur,Chandigarh,156.2
RT685,PB-33-2361,Hoshiarpur,Patiala,174.2
RT770,PB-95-7219,Jalandhar,Patiala,161.4
RT261,PB-21-5604,Ludhiana,Patiala,96.1
RT866,PB-87-7391,Kapurthala,Pathankot,124.3
RT545,PB-25-4468,Kapurthala,Mohali,181.2
RT178,PB-94-5411,Hoshiarpur,Chandigarh,144.5
RT276,PB-76-3358,Ferozepur,Mohali,247.8
RT922,PB-62-9262,Bathinda,Amritsar,187.0
RT725,PB-31-2851,Ropar,Mohali,44.1
RT736,PB-81-9738,Mohali,Amritsar,256.7
RT770,PB-19-7368,Ludhiana,Mohali,102.4
RT563,PB-43-4078,Bathinda,Ludhiana,143.0
RT840,PB-12-2230,Hoshiarpur,Amritsar,127.3
RT702,PB-13-7042,Chandigarh,Amritsar,245.9
RT585,PB-33-8491,Ferozepur,Kapurthala,111.2
RT324,PB-21-4876,Ferozepur,Hoshiarpur,168.6
RT207,PB-53-3447,Amritsar,Ludhiana,158.1
RT933,PB-33-3414,Amritsar,Jalandhar,92.8
RT594,PB-20-1534,Pathankot,Bathinda,301.1
RT378,PB-80-7710,Patiala,Ludhiana,97.8
RT834,PB-25-5944,Kapurthala,Moga,80.0
RT432,PB-61-9254,Bathinda,Patiala,175.8
RT147,PB-88-8888,Pathankot,Moga,197.1
RT623,PB-47-8276,Jalandhar,Kapurthala,23.6
RT743,PB-66-4162,Kapurthala,Bathinda,164.0
RT352,PB-86-3635,Pathankot,Moga,212.8
RT340,PB-60-4732,Amritsar,Pathankot,127.4
RT138,PB-72-6916,Kapurthala,Amritsar,68.9
RT298,PB-95-4250,Chandigarh,Pathankot,246.8
RT360,PB-80-3894,Mohali,Hoshiarpur,138.1
RT782,PB-88-9633,Ferozepur,Patiala,213.7
RT530,PB-56-5978,Mohali,Bathinda,220.1
RT460,PB-72-6515,Ropar,Mohali,44.7
RT262,PB-24-1155,Bathinda,Ludhiana,146.2
RT310,PB-19-7301,Ropar,Hoshiarpur,106.2
RT760,PB-38-6958,Moga,Ferozepur,69.9
RT638,PB-75-1384,Amritsar,Bathinda,194.9
RT401,PB-21-8017,Jalandhar,Mohali,155.2
RT149,PB-55-1248,Ferozepur,Pathankot,213.5
RT614,PB-79-9447,Chandigarh,Bathinda,218.7
RT344,PB-73-4961,Jalandhar,Moga,82.4
RT409,PB-51-8424,Ludhiana,Pathankot,183.0
RT969,PB-35-9380,Kapurthala,Amritsar,64.4
RT263,PB-87-5971,Chandigarh,Kapurthala,176.2
RT122,PB-86-5522,Amritsar,Ludhiana,160.9
RT712,PB-22-4674,Chandigarh,Patiala,72.3
RT403,PB-11-5998,Chandigarh,Ferozepur,268.0
RT867,PB-13-8252,Ludhiana,Ferozepur,143.3
RT857,PB-17-6351,Patiala,Chandigarh,71.0
RT846,PB-94-3680,Patiala,Amritsar,235.1
RT243,PB-98-3882,Amritsar,Ludhiana,161.4
RT316,PB-83-8018,Ropar,Pathankot,206.5
RT863,PB-22-5735,Pathankot,Ferozepur,228.3
RT439,PB-57-2970,Kapurthala,Ferozepur,106.3
RT225,PB-35-6365,Kapurthala,Pathankot,127.0
RT189,PB-41-8435,Patiala,Pathankot,285.8
RT584,PB-12-8702,Ropar,Pathankot,199.3
RT216,PB-69-1141,Patiala,Chandigarh,73.2
RT192,PB-25-8911,Patiala,Bathinda,163.2
RT940,PB-51-1703,Amritsar,Pathankot,122.4
RT343,PB-89-2582,Patiala,Chandigarh,69.3
RT664,PB-39-9905,Chandigarh,Kapurthala,181.4
RT443,PB-79-4660,Ludhiana,Kapurthala,84.8
RT853,PB-63-1433,Jalandhar,Amritsar,92.9
RT528,PB-86-9652,Kapurthala,Mohali,188.5
RT379,PB-55-6996,Patiala,Jalandhar,157.8
RT492,PB-13-1857,Hoshiarpur,Bathinda,216.8
RT820,PB-21-1610,Ferozepur,Ludhiana,140.1
RT208,PB-57-9556,Pathankot,Ropar,209.8
RT445,PB-85-9291,Jalandhar,Chandigarh,171.8
RT836,PB-71-2427,Pathankot,Ferozepur,217.3
RT260,PB-17-8338,Pathankot,Mohali,257.6
RT936,PB-45-5593,Ludhiana,Moga,83.1
RT855,PB-37-8822,Ferozepur,Pathankot,224.6
RT971,PB-20-6365,Pathankot,Ferozepur,215.6
RT756,PB-82-1162,Patiala,Ferozepur,215.8
RT753,PB-37-6248,Jalandhar,Amritsar,96.3
RT682,PB-20-3007,Mohali,Kapurthala,183.6
RT954,PB-50-4852,Mohali,Ropar,42.1
RT524,PB-44-6867,Ferozepur,Ropar,228.9
RT253,PB-97-1209,Amritsar,Ludhiana,148.0
RT964,PB-81-8714,Jalandhar,Bathinda,161.1
RT932,PB-78-7436,Chandigarh,Mohali,8.4
RT574,PB-34-9718,Pathankot,Chandigarh,248.1
RT322,PB-17-1099,Ferozepur,Moga,69.9
RT930,PB-30-8934,Patiala,Moga,152.0
RT275,PB-41-2489,Chandigarh,Jalandhar,167.2
RT804,PB-11-2243,Kapurthala,Bathinda,172.5
RT198,PB-56-9529,Jalandhar,Ludhiana,66.5
RT797,PB-22-1350,Chandigarh,Mohali,8.4
RT209,PB-64-7045,Ropar,Pathankot,206.0
RT753,PB-59-3681,Moga,Ropar,163.0
RT871,PB-18-2591,Kapurthala,Patiala,190.7
RT951,PB-59-6037,Hoshiarpur,Moga,132.9
RT265,PB-50-2575,Jalandhar,Bathinda,163.8
RT366,PB-89-5769,Chandigarh,Amritsar,243.1
RT727,PB-48-9194,Pathankot,Ferozepur,217.2
RT162,PB-81-9584,Ferozepur,Patiala,226.6
RT836,PB-64-9446,Bathinda,Ferozepur,108.7
RT333,PB-31-4937,Mohali,Hoshiarpur,147.9
RT370,PB-20-1058,Kapurthala,Moga,79.6
RT178,PB-53-8835,Bathinda,Ludhiana,148.9
RT625,PB-14-4276,Moga,Chandigarh,178.2
RT236,PB-62-4793,Ludhiana,Ferozepur,152.6
RT914,PB-65-8191,Jalandhar,Mohali,152.1
RT617,PB-42-9248,Ropar,Hoshiarpur,102.9
RT266,PB-68-6013,Ropar,Patiala,86.3
RT280,PB-32-1879,Kapurthala,Jalandhar,22.6
RT359,PB-98-1772,Kapurthala,Chandigarh,188.4
RT544,PB-72-8170,Ludhiana,Kapurthala,80.5
RT341,PB-32-4461,Pathankot,Amritsar,117.8
RT545,PB-33-6274,Mohali,Jalandhar,161.1
RT183,PB-78-5946,Moga,Chandigarh,187.2
RT563,PB-89-5925,Pathankot,Patiala,270.1
RT766,PB-81-9576,Patiala,Bathinda,161.8
RT193,PB-77-1809,Hoshiarpur,Kapurthala,62.1
RT613,PB-44-1243,Moga,Jalandhar,79.1
RT242,PB-58-3024,Kapurthala,Mohali,191.9
RT610,PB-24-2516,Ferozepur,Moga,65.1
RT706,PB-81-4931,Ropar,Chandigarh,45.5
RT126,PB-53-5795,Ferozepur,Bathinda,111.6
RT519,PB-34-5574,Jalandhar,Ludhiana,66.6
RT690,PB-56-1644,Moga,Patiala,150.2
RT314,PB-51-3640,Mohali,Hoshiarpur,152.8
RT996,PB-46-6001,Moga,Mohali,192.4
RT500,PB-83-1119,Patiala,Mohali,61.8
RT461,PB-30-9318,Chandigarh,Patiala,73.4
RT177,PB-75-2172,Patiala,Ropar,91.1
RT552,PB-18-3486,Mohali,Bathinda,206.4
RT978,PB-11-1023,Kapurthala,Bathinda,167.3
RT785,PB-20-4864,Moga,Chandigarh,190.5
RT624,PB-52-4071,Ropar,Patiala,83.7
RT975,PB-82-4349,Ferozepur,Amritsar,101.1
RT216,PB-20-2767,Jalandhar,Hoshiarpur,47.3
RT574,PB-42-3961,Patiala,Pathankot,281.6
RT622,PB-68-2339,Pathankot,Ferozepur,223.7
RT572,PB-15-2049,Ferozepur,Ludhiana,139.4
RT866,PB-91-4037,Patiala,Ropar,89.5
RT960,PB-89-3434,Amritsar,Chandigarh,242.7
RT909,PB-24-5900,Jalandhar,Hoshiarpur,49.7
RT645,PB-62-7429,Kapurthala,Amritsar,68.0
RT789,PB-37-5745,Mohali,Kapurthala,174.5
RT692,PB-86-4336,Mohali,Jalandhar,151.0
RT935,PB-95-5785,Ludhiana,Patiala,96.2
RT205,PB-16-2935,Patiala,Jalandhar,154.8
RT980,PB-87-2072,Moga,Chandigarh,200.3
RT151,PB-39-2355,Bathinda,Ropar,219.7
RT217,PB-89-1830,Hoshiarpur,Bathinda,208.2
RT105,PB-56-8236,Kapurthala,Ropar,148.9
RT300,PB-51-9013,Jalandhar,Ropar,123.7
RT201,PB-88-3334,Patiala,Kapurthala,189.2
RT655,PB-50-8610,Ludhiana,Ferozepur,142.8
RT652,PB-54-3353,Jalandhar,Bathinda,170.2
RT683,PB-58-1715,Chandigarh,Pathankot,261.1
RT684,PB-71-4011,Ludhiana,Ferozepur,151.6
RT484,PB-86-4649,Moga,Ferozepur,63.1
RT970,PB-12-5881,Jalandhar,Pathankot,130.5
RT675,PB-76-8578,Bathinda,Moga,88.0
RT184,PB-53-9875,Moga,Jalandhar,82.4
RT271,PB-65-6450,Ludhiana,Bathinda,144.9
RT884,PB-48-8064,Ferozepur,Hoshiarpur,173.2
RT948,PB-91-5337,Ferozepur,Amritsar,101.5
RT825,PB-63-3510,Jalandhar,Bathinda,166.7
RT383,PB-27-9054,Mohali,Patiala,63.6
RT737,PB-51-3179,Ludhiana,Jalandhar,64.8
RT939,PB-71-3239,Chandigarh,Ropar,46.3
RT342,PB-24-9052,Mohali,Ropar,43.2
RT685,PB-98-8501,Mohali,Pathankot,232.7
RT567,PB-11-2878,Mohali,Jalandhar,161.7
RT814,PB-16-9137,Amritsar,Mohali,246.4
RT411,PB-38-8421,Kapurthala,Moga,82.8
RT683,PB-91-6285,Ludhiana,Hoshiarpur,87.7
RT606,PB-61-5282,Amritsar,Bathinda,199.2
RT375,PB-37-5106,Bathinda,Amritsar,194.0
RT486,PB-98-2625,Pathankot,Ropar,208.8
RT292,PB-75-8674,Mohali,Pathankot,233.2
RT837,PB-66-3322,Amritsar,Pathankot,125.4
RT717,PB-79-7977,Bathinda,Hoshiarpur,217.9
RT970,PB-10-7169,Patiala,Ropar,88.8
RT884,PB-92-7882,Pathankot,Moga,194.3
RT227,PB-29-5014,Jalandhar,Pathankot,121.7
RT838,PB-35-9311,Jalandhar,Ludhiana,69.4
RT272,PB-97-7155,Ropar,Bathinda,219.3
RT774,PB-79-6115,Ludhiana,Ropar,82.9
RT808,PB-97-7065,Mohali,Amritsar,242.5
RT485,PB-20-7687,Jalandhar,Hoshiarpur,48.7
RT464,PB-36-5963,Chandigarh,Amritsar,251.9
RT219,PB-21-2099,Amritsar,Patiala,244.0
RT481,PB-94-2602,Chandigarh,Bathinda,239.1
RT143,PB-69-3477,Pathankot,Chandigarh,251.1
RT560,PB-41-3862,Amritsar,Bathinda,191.2
RT398,PB-18-7816,Moga,Ropar,162.9
RT777,PB-61-1217,Kapurthala,Ludhiana,89.7
RT781,PB-72-7109,Hoshiarpur,Amritsar,125.8
RT277,PB-83-8439,Ropar,Amritsar,205.6
RT405,PB-17-9132,Ludhiana,Hoshiarpur,83.2
RT221,PB-88-2926,Hoshiarpur,Jalandhar,47.0
RT320,PB-36-7630,Moga,Chandigarh,194.6
RT278,PB-99-9178,Kapurthala,Hoshiarpur,66.2
RT392,PB-84-1585,Patiala,Hoshiarpur,162.0
RT436,PB-11-5005,Amritsar,Chandigarh,253.9
RT194,PB-65-3862,Ludhiana,Hoshiarpur,91.5
RT197,PB-51-2028,Ludhiana,Amritsar,157.6
RT294,PB-96-3636,Hoshiarpur,Kapurthala,65.4
RT267,PB-40-4611,Bathinda,Ropar,214.3
RT273,PB-80-6639,Patiala,Ropar,85.9
RT837,PB-96-4988,Amritsar,Ferozepur,96.2
RT777,PB-87-9785,Patiala,Ferozepur,220.8
RT531,PB-32-3290,Hoshiarpur,Moga,134.4
RT103,PB-28-5039,Bathinda,Moga,91.5
RT264,PB-56-2976,Ferozepur,Chandigarh,270.4
RT152,PB-42-5178,Amritsar,Kapurthala,64.8
RT906,PB-37-1150,Chandigarh,Pathankot,253.6
RT617,PB-63-4528,Jalandhar,Moga,82.5
RT664,PB-36-9585,Ropar,Jalandhar,116.5
RT534,PB-99-4908,Moga,Amritsar,119.8
RT755,PB-67-4704,Patiala,Ropar,86.9
RT603,PB-96-4874,Mohali,Ferozepur,260.1
RT248,PB-21-4740,Bathinda,Hoshiarpur,219.7
RT119,PB-13-4801,Jalandhar,Ropar,117.0
RT617,PB-14-5506,Mohali,Moga,179.7
RT708,PB-68-7446,Jalandhar,Hoshiarpur,49.0
RT724,PB-46-4998,Ropar,Chandigarh,44.0
RT536,PB-76-3505,Kapurthala,Ferozepur,112.0
RT800,PB-59-5063,Bathinda,Moga,88.3
RT259,PB-96-3455,Ferozepur,Chandigarh,248.5
RT849,PB-58-7629,Patiala,Moga,165.0
RT675,PB-74-8852,Patiala,Chandigarh,67.8
RT541,PB-33-1591,Moga,Kapurthala,77.7
RT683,PB-58-2638,Kapurthala,Patiala,185.7
RT363,PB-50-4947,Moga,Hoshiarpur,135.7
RT515,PB-91-5120,Moga,Mohali,185.6
RT821,PB-44-7760,Mohali,Pathankot,246.4
RT623,PB-40-5305,Pathankot,Kapurthala,118.2
RT721,PB-15-3441,Bathinda,Chandigarh,239.6
RT922,PB-28-5390,Chandigarh,Ropar,46.4
RT156,PB-94-5910,Jalandhar,Kapurthala,23.3
RT959,PB-31-9271,Amritsar,Hoshiarpur,119.0
RT211,PB-76-1598,Pathankot,Kapurthala,127.9
RT191,PB-69-6418,Amritsar,Mohali,239.6
RT716,PB-33-5549,Pathankot,Moga,197.9
RT324,PB-37-5802,Ferozepur,Pathankot,209.2
RT163,PB-53-2143,Hoshiarpur,Patiala,177.9
RT781,PB-44-7107,Moga,Ferozepur,66.9
RT209,PB-65-4523,Hoshiarpur,Chandigarh,148.7
RT186,PB-46-7093,Chandigarh,Ludhiana,109.1
RT571,PB-11-1071,Amritsar,Ropar,207.7
RT902,PB-72-5824,Patiala,Moga,165.2
RT310,PB-60-4612,Patiala,Moga,162.0
RT334,PB-60-5289,Hoshiarpur,Ropar,109.0
RT812,PB-56-7376,Chandigarh,Jalandhar,155.4
RT830,PB-74-3601,Amritsar,Moga,115.7
RT946,PB-48-9076,Kapurthala,Ludhiana,87.7
RT915,PB-56-4066,Mohali,Ferozepur,246.8
RT549,PB-47-8745,Mohali,Moga,189.2
RT455,PB-71-8235,Kapurthala,Bathinda,166.9
RT369,PB-95-9491,Mohali,Amritsar,244.0
RT626,PB-44-1051,Kapurthala,Pathankot,130.9
RT625,PB-62-4740,Bathinda,Kapurthala,162.7
RT241,PB-33-4626,Amritsar,Moga,113.0
RT652,PB-25-8201,Ferozepur,Pathankot,230.3
RT787,PB-74-4306,Ropar,Chandigarh,42.1
RT422,PB-72-6982,Amritsar,Ferozepur,98.0
RT875,PB-12-5745,Hoshiarpur,Jalandhar,47.4
RT184,PB-98-8259,Hoshiarpur,Moga,133.6
RT753,PB-26-3810,Hoshiarpur,Amritsar,116.1
RT379,PB-25-7534,Kapurthala,Moga,81.2
RT887,PB-31-7963,Mohali,Patiala,65.4
RT456,PB-62-7853,Moga,Patiala,163.3
RT740,PB-16-3866,Pathankot,Chandigarh,249.0
RT511,PB-36-6412,Kapurthala,Jalandhar,23.9
RT773,PB-45-1244,Ropar,Chandigarh,41.5
RT685,PB-79-7510,Bathinda,Hoshiarpur,203.3
RT943,PB-23-2450,Ludhiana,Pathankot,184.4
RT128,PB-17-1309,Bathinda,Chandigarh,234.3
RT661,PB-24-9808,Jalandhar,Ropar,119.0
RT952,PB-12-4256,Ferozepur,Moga,68.1
RT307,PB-84-3287,Bathinda,Mohali,209.9
RT721,PB-24-1822,Hoshiarpur,Patiala,177.5
RT860,PB-57-2077,Amritsar,Mohali,263.4
RT453,PB-12-1641,Mohali,Ferozepur,262.2
RT929,PB-12-4154,Moga,Jalandhar,89.1
RT646,PB-66-5309,Amritsar,Jalandhar,90.2
RT265,PB-90-9339,Moga,Hoshiarpur,126.3
RT797,PB-53-2480,Chandigarh,Amritsar,265.1
RT515,PB-59-1301,Moga,Patiala,155.7
RT716,PB-66-1781,Moga,Bathinda,89.9
RT493,PB-59-2278,Ropar,Patiala,89.7
RT795,PB-82-7724,Ludhiana,Patiala,100.0
RT499,PB-98-9097,Moga,Bathinda,82.8
RT877,PB-29-3771,Chandigarh,Mohali,7.9
RT836,PB-74-1966,Jalandhar,Hoshiarpur,46.4
RT820,PB-49-3402,Patiala,Hoshiarpur,161.1
RT136,PB-88-3617,Hoshiarpur,Mohali,151.9
RT749,PB-23-3690,Bathinda,Moga,84.9
RT999,PB-10-3451,Hoshiarpur,Pathankot,100.1
RT317,PB-69-1485,Patiala,Ludhiana,104.1
RT592,PB-81-7599,Patiala,Hoshiarpur,162.7
RT394,PB-95-1827,Bathinda,Ludhiana,146.1
RT698,PB-30-2211,Chandigarh,Ludhiana,105.2
RT187,PB-93-5806,Ferozepur,Jalandhar,119.9
RT515,PB-83-9514,Ludhiana,Bathinda,138.9
RT953,PB-97-4728,Ferozepur,Hoshiarpur,173.1
RT500,PB-25-8943,Ropar,Moga,157.0
RT857,PB-72-6625,Ferozepur,Chandigarh,258.5
RT259,PB-98-2404,Moga,Hoshiarpur,128.5
RT867,PB-13-8134,Hoshiarpur,Amritsar,114.2
RT413,PB-35-6000,Bathinda,Hoshiarpur,213.7
RT343,PB-52-4971,Hoshiarpur,Ferozepur,173.7
RT565,PB-83-7985,Moga,Chandigarh,190.6
RT112,PB-32-3744,Amritsar,Patiala,256.1
RT995,PB-84-3704,Ropar,Ferozepur,230.1
RT926,PB-46-8378,Bathinda,Kapurthala,160.9
RT353,PB-74-8032,Ludhiana,Jalandhar,67.9
RT130,PB-17-4584,Mohali,Patiala,61.0
RT201,PB-46-6100,Patiala,Jalandhar,172.0
RT380,PB-22-9420,Hoshiarpur,Ludhiana,85.4
RT961,PB-45-6744,Chandigarh,Bathinda,228.5
RT837,PB-31-3748,Ludhiana,Ropar,81.2
RT403,PB-16-2939,Ropar,Moga,161.1
RT636,PB-43-3965,Ludhiana,Patiala,93.2
RT735,PB-37-9210,Jalandhar,Kapurthala,22.7
RT855,PB-22-3051,Kapurthala,Bathinda,165.3
RT857,PB-70-2436,Patiala,Amritsar,259.9
RT942,PB-70-4874,Kapurthala,Patiala,188.3
RT103,PB-95-4137,Hoshiarpur,Ropar,100.3
RT801,PB-64-2551,Bathinda,Chandigarh,227.7
RT495,PB-86-8259,Ferozepur,Mohali,245.8
RT858,PB-82-3571,Ferozepur,Bathinda,100.9
RT581,PB-33-9967,Patiala,Ferozepur,220.7
RT846,PB-57-7798,Jalandhar,Kapurthala,24.5
RT557,PB-58-8444,Pathankot,Ludhiana,183.6
RT306,PB-47-4453,Chandigarh,Jalandhar,167.0
RT514,PB-14-6048,Mohali,Patiala,61.3
RT563,PB-14-7394,Patiala,Mohali,65.9
RT406,PB-72-9949,Mohali,Hoshiarpur,151.8
RT173,PB-83-2030,Ferozepur,Amritsar,106.1
RT297,PB-56-6752,Jalandhar,Patiala,158.6
RT301,PB-28-5649,Ludhiana,Mohali,101.2
RT784,PB-47-3702,Pathankot,Jalandhar,136.3
RT446,PB-35-2294,Ferozepur,Patiala,221.7
RT254,PB-92-3564,Ludhiana,Ropar,73.9
RT711,PB-20-4226,Ferozepur,Ropar,223.3
RT800,PB-53-8573,Pathankot,Amritsar,120.8
RT640,PB-97-6421,Mohali,Moga,192.0
